WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall24Hr,WindSpeed,DewPoint,Rainfall,RelativeHumidity,LandVisibility,WindDirection,StationPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.79,09-10-2019,10:00:00,26.5,35.60,0.0,24.2,0.00,87,10.00,000,977.87,30.16
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1004.76,09-10-2019,10:00:00,20.2,0.00,14.8,16.9,0.00,81,8.00,100,844.54,19.25
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.48,09-10-2019,10:00:00,28.7,0.01,0.0,23.9,0.00,75,10.00,000,963.32,29.71
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.26,09-10-2019,10:00:00,30.1,0.00,7.4,22.6,0.00,64,15.00,280,961.42,27.47
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.75,09-10-2019,10:00:00,26.5,8.50,0.0,24.8,0.00,90,12.00,000,971.15,31.24
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.16,09-10-2019,10:00:00,30.0,0.00,16.7,23.3,0.00,68,12.00,160,962.71,28.64
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.95,09-10-2019,10:00:00,27.7,0.00,5.6,23.8,0.00,79,12.00,130,982.32,29.44
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1009.12,09-10-2019,10:00:00,28.0,0.00,1.9,22.1,0.00,70,12.00,180,987.44,26.54
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.82,09-10-2019,10:00:00,26.4,2.30,0.0,23.9,0.00,86,6.00,000,985.66,29.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.32,09-10-2019,10:00:00,29.8,1.80,3.7,22.8,0.00,66,10.00,160,974.19,27.71
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.65,09-10-2019,10:00:00,28.5,0.00,0.0,22.9,0.00,72,10.00,000,981.27,27.97
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1008.02,09-10-2019,10:00:00,29.7,0.00,0.0,23.1,0.00,68,12.00,000,974.82,28.34
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1008.48,09-10-2019,10:00:00,28.7,9.70,5.6,23.8,0.00,75,12.00,270,990.09,29.43
48331,NAN,น่าน,น่าน,18.77972,100.77778,1008.71,09-10-2019,10:00:00,28.1,0.30,0.0,23.6,0.00,77,10.00,000,985.98,29.11
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1008.71,09-10-2019,10:00:00,27.2,0.00,5.6,23.4,0.00,80,12.00,150,978.86,28.78
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.73,09-10-2019,10:00:00,27.2,0.00,0.0,23.6,0.00,81,6.00,000,973.29,29.04
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1008.06,09-10-2019,10:00:00,29.0,0.00,9.3,24.7,0.00,78,12.00,100,978.57,31.13
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.81,09-10-2019,10:00:00,29.0,0.00,0.0,23.2,0.00,71,10.00,000,1001.54,28.37
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.36,09-10-2019,10:00:00,30.5,0.00,5.6,25.3,0.00,74,20.00,220,988.68,32.17
48353,LOEI,เลย,เลย,17.45000,101.73333,1008.19,09-10-2019,10:00:00,30.0,0.00,5.6,23.5,0.00,68,15.00,070,979.83,28.91
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1008.71,09-10-2019,10:00:00,28.6,0.00,5.6,24.7,0.00,80,14.00,150,988.63,31.18
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1010.04,09-10-2019,10:00:00,26.8,4.40,7.4,24.3,0.30,86,12.00,210,988.25,30.45
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1009.39,09-10-2019,10:00:00,26.5,1.60,5.6,25.1,1.60,92,9.00,130,989.84,31.79
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1010.10,09-10-2019,10:00:00,26.1,1.60,0.0,24.5,1.50,91,7.00,000,993.27,30.76
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1010.16,09-10-2019,10:00:00,27.0,0.01,0.0,24.1,0.01,84,11.00,000,992.71,30.02
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1007.81,09-10-2019,10:00:00,27.5,0.00,3.7,23.9,0.00,81,12.00,180,982.08,29.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1008.56,09-10-2019,10:00:00,30.3,0.00,5.6,25.0,0.00,74,10.00,150,1002.82,31.76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1008.97,09-10-2019,10:00:00,30.0,0.00,0.0,23.8,0.00,69,12.00,000,1002.83,29.47
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1009.89,09-10-2019,10:00:00,28.5,0.00,9.3,23.7,0.00,75,10.00,180,993.50,29.33
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1009.20,09-10-2019,10:00:00,25.0,17.60,0.0,23.5,15.10,92,8.00,000,986.69,29.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.92,09-10-2019,10:00:00,28.8,2.00,3.7,24.0,0.00,76,10.00,180,995.58,29.90
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1009.13,09-10-2019,10:00:00,28.0,0.00,0.0,23.6,0.00,77,7.00,000,992.77,29.19
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1009.75,09-10-2019,10:00:00,29.1,0.00,11.1,25.1,0.00,79,10.00,210,1004.54,31.89
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1008.33,09-10-2019,10:00:00,28.5,0.00,0.0,25.2,0.00,83,12.00,000,995.18,32.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1009.05,09-10-2019,10:00:00,29.1,0.00,5.6,23.9,0.00,74,10.00,050,999.77,29.65
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1009.47,09-10-2019,10:00:00,26.7,0.90,9.3,23.9,0.00,85,9.00,190,987.72,29.72
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1009.78,09-10-2019,10:00:00,26.0,23.80,0.0,24.6,0.40,92,10.00,000,992.17,30.84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1008.92,09-10-2019,10:00:00,27.8,7.70,7.4,25.2,0.00,86,11.00,230,993.10,32.12
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1008.44,09-10-2019,10:00:00,26.6,0.01,5.6,24.3,0.01,87,8.00,190,989.51,30.34
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.79,09-10-2019,10:00:00,25.8,7.20,0.0,22.4,0.00,81,10.00,000,958.45,27.05
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.96,09-10-2019,10:00:00,29.3,0.00,0.0,24.4,0.00,75,8.00,000,1005.02,30.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.82,09-10-2019,10:00:00,22.9,1.00,7.4,20.9,0.00,89,7.00,250,914.88,24.72
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1009.94,09-10-2019,10:00:00,25.4,1.40,7.4,24.4,1.20,94,6.00,230,993.83,30.52
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1009.37,09-10-2019,10:00:00,30.5,0.00,3.7,24.0,0.00,68,12.00,180,1005.37,29.89
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1010.55,09-10-2019,10:00:00,29.7,0.00,3.7,24.1,0.00,72,9.00,160,999.94,29.99
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.20,09-10-2019,10:00:00,30.5,0.00,7.4,24.0,0.00,68,10.00,210,1008.29,29.89
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.53,09-10-2019,10:00:00,29.0,0.00,11.1,23.2,0.00,71,10.00,230,988.76,28.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1009.76,09-10-2019,10:00:00,26.3,9.70,5.6,24.7,7.70,91,10.00,210,992.01,31.13
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1009.61,09-10-2019,10:00:00,27.1,5.50,11.1,24.9,1.30,88,10.00,220,993.41,31.58
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1010.55,09-10-2019,10:00:00,27.8,5.20,7.4,25.1,0.01,85,10.00,220,996.51,31.84
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.15,09-10-2019,10:00:00,27.5,5.20,0.0,23.9,0.00,81,8.00,000,990.38,29.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1010.68,09-10-2019,10:00:00,26.4,10.80,9.3,25.8,6.30,97,7.00,200,995.92,33.27
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.41,09-10-2019,10:00:00,31.1,0.10,0.0,23.0,0.00,62,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.43,28.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1009.68,09-10-2019,10:00:00,29.9,0.00,0.0,24.0,0.00,71,10.00,000,1001.79,29.83
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.41,09-10-2019,10:00:00,30.2,9.70,13.0,25.2,0.00,75,8.00,210,1009.31,32.13
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1010.40,09-10-2019,10:00:00,28.5,0.00,0.0,24.3,0.00,78,8.00,000,995.74,30.42
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1011.85,09-10-2019,10:00:00,19.6,56.60,11.1,19.4,0.00,99,.05,220,876.25,22.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1010.04,09-10-2019,10:00:00,30.4,0.00,7.4,24.4,0.00,70,10.00,190,1004.20,30.54
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.78,09-10-2019,10:00:00,30.4,0.00,7.4,24.1,0.00,69,8.00,200,1009.98,29.98
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.71,09-10-2019,10:00:00,29.6,0.50,13.0,24.4,0.00,74,10.00,210,1010.27,30.63
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.87,09-10-2019,10:00:00,26.5,0.50,0.0,24.3,0.00,88,5.00,000,1000.50,30.43
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.64,09-10-2019,10:00:00,30.4,2.10,5.6,23.9,0.00,68,12.00,210,1009.64,29.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.52,09-10-2019,10:00:00,31.4,0.01,13.0,23.0,0.00,61,8.00,190,1008.71,28.04
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.28,09-10-2019,10:00:00,30.2,0.00,0.0,22.9,0.00,65,9.00,000,1009.52,27.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.19,09-10-2019,10:00:00,30.3,0.20,14.8,24.4,0.00,71,10.00,190,1010.49,30.62
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.80,09-10-2019,10:00:00,29.9,7.50,0.0,25.1,0.00,75,7.00,000,1010.10,31.80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1010.00,09-10-2019,10:00:00,30.5,0.01,11.1,22.9,0.00,64,10.00,250,989.03,27.95
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1010.35,09-10-2019,10:00:00,28.7,0.01,7.4,25.0,0.00,80,9.00,220,993.67,31.66
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1010.73,09-10-2019,10:00:00,29.0,0.10,9.3,25.0,0.00,79,9.00,210,994.35,31.69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.89,09-10-2019,10:00:00,30.5,0.00,0.0,23.6,0.00,67,10.00,000,988.23,29.06
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.90,09-10-2019,10:00:00,28.3,1.20,29.6,21.4,0.00,66,10.00,230,966.72,25.51
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1010.05,09-10-2019,10:00:00,28.8,0.30,7.4,23.7,0.01,74,8.00,210,989.55,29.35
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1011.76,09-10-2019,10:00:00,27.8,4.00,14.8,26.0,1.20,90,7.00,220,990.90,33.53
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.69,09-10-2019,10:00:00,29.4,0.00,9.3,23.9,0.00,72,10.00,180,1010.25,29.68
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.71,09-10-2019,10:00:00,28.8,0.10,0.0,25.5,0.00,83,9.00,000,1009.30,32.71
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1010.72,09-10-2019,10:00:00,29.0,37.80,0.0,26.9,0.40,89,8.00,000,1005.80,35.46
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1010.54,09-10-2019,10:00:00,30.4,0.90,7.4,23.0,0.00,65,12.00,250,1007.27,28.04
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.69,09-10-2019,10:00:00,30.4,0.01,3.7,23.5,0.00,66,10.00,270,1009.59,28.86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.79,09-10-2019,10:00:00,30.1,2.10,3.7,25.3,0.00,76,10.00,230,1010.49,32.21
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.75,09-10-2019,10:00:00,30.4,17.80,0.0,23.8,0.00,68,10.00,000,1010.07,29.42
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.54,09-10-2019,10:00:00,29.8,29.20,3.7,23.1,0.00,67,10.00,150,1010.05,28.26
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.01,09-10-2019,10:00:00,30.7,0.00,7.4,23.1,0.00,64,10.00,200,1009.61,28.34
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1012.32,09-10-2019,10:00:00,29.5,0.00,18.5,26.7,0.00,85,10.00,190,1010.65,35.05
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.49,09-10-2019,10:00:00,29.1,0.00,14.8,24.7,0.00,77,12.00,180,1004.50,31.05
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.73,09-10-2019,10:00:00,30.5,0.00,7.4,24.5,0.00,70,10.00,090,1010.45,30.74
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.71,09-10-2019,10:00:00,30.0,0.00,9.3,23.6,0.00,69,10.00,310,1007.59,29.19
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1011.37,09-10-2019,10:00:00,29.5,0.00,16.7,22.9,0.00,68,12.00,210,1004.46,27.96
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1010.82,09-10-2019,10:00:00,31.0,0.00,7.4,24.6,0.00,69,8.00,190,1005.27,30.90
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1012.04,09-10-2019,10:00:00,29.2,0.00,16.7,23.5,0.00,72,10.00,210,1002.75,29.02
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1011.03,09-10-2019,10:00:00,31.1,0.01,7.4,23.8,0.00,65,14.00,150,1009.78,29.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.94,09-10-2019,10:00:00,31.8,0.01,0.0,25.0,0.00,67,11.00,000,1010.51,31.68
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1010.77,09-10-2019,10:00:00,30.8,0.00,3.7,23.6,0.00,66,10.00,230,998.62,29.09
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.87,09-10-2019,10:00:00,32.0,0.00,3.7,23.3,0.00,60,10.00,240,1010.17,28.66
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.65,09-10-2019,10:00:00,31.0,0.00,11.1,23.8,0.00,66,10.00,220,1009.24,29.48
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.49,09-10-2019,10:00:00,29.7,0.00,16.7,25.3,0.00,77,10.00,230,1010.97,32.26
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.50,09-10-2019,10:00:00,29.9,0.00,7.4,23.8,0.00,70,13.00,190,1006.37,29.55
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.93,09-10-2019,10:00:00,28.4,0.20,7.4,24.5,0.20,80,8.00,150,1011.51,30.78
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1012.20,09-10-2019,10:00:00,26.7,8.90,0.0,25.0,8.90,90,8.00,000,1009.41,31.63
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.94,09-10-2019,10:00:00,29.0,13.80,0.0,23.3,0.00,72,10.00,000,1011.16,28.64
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1012.02,09-10-2019,10:00:00,27.2,180.30,0.0,25.1,0.50,88,8.00,000,1011.56,31.77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1012.12,09-10-2019,10:00:00,29.2,0.90,0.0,23.9,0.00,73,8.00,000,1011.44,29.57
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.62,09-10-2019,10:00:00,29.0,8.80,0.0,23.9,0.00,74,9.00,000,1010.10,29.74
