WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,Rainfall,AirTemperature,MaximumTemperature,WindSpeed,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1002.93,08-26-2019,19:00:00,972.45,0.00,000,33.04,25.7,0.00,29.1,33.6,0.0,82,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.97,08-26-2019,19:00:00,842.09,0.00,270,23.58,20.1,0.00,21.7,24.5,7.4,91,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1001.66,08-26-2019,19:00:00,958.86,0.00,250,29.63,23.9,0.00,29.8,33.8,11.1,71,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.81,08-26-2019,19:00:00,957.09,0.00,000,29.33,23.7,0.00,29.5,33.5,0.0,71,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.34,08-26-2019,19:00:00,966.01,5.40,000,31.94,25.1,0.00,27.0,31.8,0.0,90,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1002.69,08-26-2019,19:00:00,958.16,2.00,120,30.01,24.1,0.00,28.0,32.5,5.6,79,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.25,08-26-2019,19:00:00,976.90,4.00,000,34.62,26.5,0.00,29.3,32.6,0.0,85,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1003.84,08-26-2019,19:00:00,982.14,4.70,090,31.76,25.0,0.80,26.2,34.1,7.4,93,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1005.43,08-26-2019,19:00:00,981.36,0.30,000,29.41,23.8,0.00,26.1,31.5,0.0,87,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1004.04,08-26-2019,19:00:00,969.72,22.10,000,31.00,24.6,2.30,26.8,34.2,0.0,88,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.99,08-26-2019,19:00:00,976.58,1.70,000,33.10,25.7,1.00,26.6,34.0,0.0,95,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.35,08-26-2019,19:00:00,969.95,0.40,000,31.79,25.1,0.40,26.5,34.0,0.0,92,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.32,08-26-2019,19:00:00,984.98,0.00,000,31.95,25.1,0.00,28.0,33.5,0.0,85,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1002.96,08-26-2019,19:00:00,980.44,4.50,000,33.83,26.1,0.00,29.2,32.6,0.0,83,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1002.67,08-26-2019,19:00:00,973.27,3.20,000,28.72,23.4,0.00,29.9,32.0,0.0,68,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.26,08-26-2019,19:00:00,968.92,12.00,000,32.18,25.3,0.00,26.7,31.2,0.0,92,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.44,08-26-2019,19:00:00,973.83,1.60,000,31.68,25.0,0.00,26.3,31.1,0.0,93,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.72,08-26-2019,19:00:00,996.47,9.00,000,34.40,26.4,9.00,28.5,33.5,0.0,88,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1003.91,08-26-2019,19:00:00,984.07,82.60,000,33.02,25.7,0.00,26.7,27.5,0.0,94,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1003.84,08-26-2019,19:00:00,975.21,2.00,000,29.93,24.1,0.80,25.8,30.3,0.0,90,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1004.45,08-26-2019,19:00:00,984.23,49.80,120,30.07,24.1,0.00,25.3,29.0,1.9,93,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.65,08-26-2019,19:00:00,983.04,13.80,000,32.12,25.2,0.00,27.8,31.0,0.0,86,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.41,08-26-2019,19:00:00,984.99,24.30,000,33.62,26.0,2.20,27.0,30.3,0.0,94,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1005.76,08-26-2019,19:00:00,989.01,47.00,000,30.97,24.6,0.00,26.5,28.5,0.0,89,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1005.44,08-26-2019,19:00:00,987.98,28.10,000,29.91,24.0,0.01,25.5,28.2,0.0,92,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1003.38,08-26-2019,19:00:00,977.59,13.60,000,30.17,24.2,0.00,25.5,29.5,0.0,93,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.83,08-26-2019,19:00:00,998.04,14.10,060,33.23,25.8,10.00,26.1,34.1,7.4,98,6.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.91,08-26-2019,19:00:00,997.72,55.30,000,32.20,25.3,55.30,26.0,33.5,0.0,96,7.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.55,08-26-2019,19:00:00,988.16,3.60,000,31.38,24.8,1.30,27.0,30.0,0.0,88,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1004.74,08-26-2019,19:00:00,982.36,18.20,180,28.07,23.0,0.00,25.5,28.2,3.7,86,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.10,08-26-2019,19:00:00,990.79,0.00,260,27.06,22.4,0.00,28.0,33.5,13.0,72,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.49,08-26-2019,19:00:00,987.33,0.00,270,24.63,20.9,0.00,30.0,35.0,11.1,58,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.07,08-26-2019,19:00:00,998.87,4.20,000,31.95,25.1,0.00,28.0,32.0,0.0,85,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1003.34,08-26-2019,19:00:00,990.14,7.20,190,28.95,23.5,5.20,25.7,31.9,9.3,88,7.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.07,08-26-2019,19:00:00,994.80,3.10,280,31.95,25.1,2.30,28.0,32.5,7.4,85,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1004.24,08-26-2019,19:00:00,982.67,4.30,010,32.12,25.2,0.00,27.8,30.5,1.9,86,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1004.01,08-26-2019,19:00:00,986.63,8.80,000,30.56,24.4,0.00,28.0,31.8,0.0,81,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.52,08-26-2019,19:00:00,988.60,76.90,000,29.59,23.9,20.50,24.6,29.9,0.0,96,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1003.32,08-26-2019,19:00:00,984.63,2.70,000,29.46,23.8,0.00,29.0,31.0,0.0,74,9.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.76,08-26-2019,19:00:00,956.19,19.30,000,26.42,22.0,3.30,23.8,28.8,0.0,90,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.12,08-26-2019,19:00:00,1000.16,10.40,110,31.79,25.1,7.80,26.5,32.1,5.6,92,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.41,08-26-2019,19:00:00,911.13,7.70,240,23.47,20.1,0.00,20.7,24.0,11.1,96,5.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1004.11,08-26-2019,19:00:00,988.17,68.70,000,33.99,26.2,0.00,26.9,31.3,0.0,96,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.94,08-26-2019,19:00:00,1000.93,2.30,140,31.94,25.1,0.01,28.7,33.2,5.6,81,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.19,08-26-2019,19:00:00,995.47,32.60,000,30.87,24.6,31.90,25.3,31.5,0.0,96,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.38,08-26-2019,19:00:00,1004.45,3.60,240,32.61,25.5,3.60,27.2,33.0,13.0,90,4.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1004.95,08-26-2019,19:00:00,984.16,4.40,000,31.05,24.7,0.50,27.4,30.8,0.0,85,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1004.07,08-26-2019,19:00:00,986.54,111.70,090,33.41,25.9,0.00,28.3,30.3,3.7,87,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.98,08-26-2019,19:00:00,987.95,106.80,000,34.40,26.4,0.00,28.5,31.2,0.0,88,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1005.44,08-26-2019,19:00:00,991.49,7.30,000,31.90,25.1,0.00,28.4,29.6,0.0,82,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.78,08-26-2019,19:00:00,991.02,7.70,000,33.37,25.9,0.00,28.0,30.7,0.0,88,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1005.31,08-26-2019,19:00:00,990.67,3.80,190,32.49,25.4,0.00,27.0,30.5,5.6,91,9.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.13,08-26-2019,19:00:00,1002.12,3.50,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.03,23.5,0.20,28.2,33.0,0.0,76,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.67,08-26-2019,19:00:00,996.77,0.20,200,29.87,24.0,0.00,28.5,32.0,9.3,77,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.50,08-26-2019,19:00:00,1004.40,1.00,200,30.10,24.1,0.00,28.9,32.6,14.8,76,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.49,08-26-2019,19:00:00,989.95,13.00,090,34.62,26.5,2.30,29.3,30.0,5.6,85,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.64,08-26-2019,19:00:00,871.99,70.40,240,23.42,20.0,9.00,20.2,22.5,7.4,99,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.17,08-26-2019,19:00:00,999.34,11.10,000,32.55,25.5,0.00,29.0,31.8,0.0,81,9.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.13,08-26-2019,19:00:00,1005.33,2.10,230,32.36,25.4,0.00,27.5,33.4,9.3,88,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.91,08-26-2019,19:00:00,1005.47,5.90,240,31.05,24.7,0.20,27.4,32.0,11.1,85,8.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.00,08-26-2019,19:00:00,997.58,35.50,000,29.33,23.7,19.30,24.6,30.0,0.0,95,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.86,08-26-2019,19:00:00,1004.85,0.20,220,30.48,24.4,0.00,28.1,34.1,3.7,80,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.77,08-26-2019,19:00:00,1003.96,3.50,240,30.57,24.4,0.30,29.0,33.0,3.7,76,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.90,08-26-2019,19:00:00,1005.14,0.80,230,28.97,23.5,0.01,26.0,32.4,7.4,86,6.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.41,08-26-2019,19:00:00,1005.70,7.00,310,30.86,24.6,0.01,26.3,31.0,13.0,90,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.18,08-26-2019,19:00:00,1005.48,26.70,240,31.29,24.8,0.00,28.8,32.1,3.7,79,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.84,08-26-2019,19:00:00,983.90,36.70,240,26.97,22.3,0.00,29.4,32.3,5.6,66,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1004.87,08-26-2019,19:00:00,988.31,34.50,210,29.74,23.9,0.00,29.0,31.8,5.6,74,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1005.17,08-26-2019,19:00:00,988.86,37.80,210,29.16,23.6,0.00,28.7,32.2,7.4,74,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1005.28,08-26-2019,19:00:00,983.59,4.10,000,29.16,23.6,0.00,28.7,34.4,0.0,74,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.40,08-26-2019,19:00:00,962.19,1.40,220,26.31,21.9,0.00,26.7,28.8,11.1,75,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1005.18,08-26-2019,19:00:00,984.76,3.00,210,27.52,22.7,0.00,28.4,31.6,7.4,71,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1006.36,08-26-2019,19:00:00,985.60,4.80,220,32.84,25.6,0.00,27.6,30.2,7.4,89,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.34,08-26-2019,19:00:00,1005.90,6.00,310,29.19,23.6,0.00,26.7,34.1,9.3,83,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.58,08-26-2019,19:00:00,1004.17,47.50,000,29.69,23.9,0.00,27.4,30.9,0.0,81,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.89,08-26-2019,19:00:00,1000.98,16.90,000,30.84,24.6,0.00,28.0,32.2,0.0,82,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.58,08-26-2019,19:00:00,1003.28,11.60,000,27.92,22.9,0.80,26.0,31.1,0.0,83,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.31,08-26-2019,19:00:00,1005.20,2.90,260,30.97,24.6,0.01,27.5,33.6,5.6,84,7.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.46,08-26-2019,19:00:00,1006.16,6.90,270,30.91,24.6,0.10,26.9,32.2,11.1,87,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.39,08-26-2019,19:00:00,1005.71,10.90,260,31.71,25.0,5.20,26.6,33.0,7.4,91,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.32,08-26-2019,19:00:00,1005.83,12.20,280,33.19,25.8,6.40,26.5,33.6,7.4,96,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.26,08-26-2019,19:00:00,1004.85,18.60,240,31.71,25.0,13.80,26.6,32.2,14.8,91,9.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.15,08-26-2019,19:00:00,1004.48,3.00,300,33.62,26.0,0.10,27.7,29.1,14.8,91,9.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.83,08-26-2019,19:00:00,999.85,5.20,000,26.90,22.3,0.00,28.2,32.5,0.0,70,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.33,08-26-2019,19:00:00,1006.04,2.60,270,29.85,24.0,0.20,28.2,32.0,14.8,78,8.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.72,08-26-2019,19:00:00,1003.60,0.80,300,30.56,24.4,0.00,28.0,30.5,9.3,81,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.81,08-26-2019,19:00:00,999.91,4.30,230,29.87,24.0,0.00,28.5,30.0,5.6,77,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.85,08-26-2019,19:00:00,1000.30,11.50,000,28.78,23.4,0.00,29.5,31.5,0.0,70,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.77,08-26-2019,19:00:00,998.49,24.50,320,29.19,23.6,0.00,28.0,31.5,14.8,77,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.73,08-26-2019,19:00:00,1006.46,8.30,320,29.82,24.0,2.30,25.6,32.2,7.4,91,6.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.56,08-26-2019,19:00:00,1006.13,7.70,180,27.85,22.9,0.00,28.0,30.3,7.4,74,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.23,08-26-2019,19:00:00,994.88,11.50,000,27.87,22.9,0.70,24.8,27.0,0.0,89,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.03,08-26-2019,19:00:00,1006.31,7.40,240,29.41,23.8,0.50,26.1,27.9,5.6,87,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.18,08-26-2019,19:00:00,1004.76,3.00,240,28.78,23.4,0.00,28.5,31.8,7.4,74,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.83,08-26-2019,19:00:00,1006.32,0.90,280,29.98,24.1,0.00,28.7,30.6,16.7,76,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.77,08-26-2019,19:00:00,1001.64,2.40,260,27.71,22.8,0.00,28.5,32.5,1.9,71,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.04,08-26-2019,19:00:00,1006.63,1.20,000,30.04,24.1,0.00,28.3,31.1,0.0,78,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.31,08-26-2019,19:00:00,1004.54,2.50,040,30.64,24.4,0.00,26.9,31.0,3.7,86,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.76,08-26-2019,19:00:00,1006.97,9.40,000,27.29,22.5,1.00,25.5,31.0,0.0,84,8.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.59,08-26-2019,19:00:00,1007.14,6.70,000,30.37,24.3,0.00,27.9,29.5,0.0,81,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.56,08-26-2019,19:00:00,1007.87,1.90,260,28.55,23.3,0.01,26.5,30.6,5.6,83,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.35,08-26-2019,19:00:00,1006.82,0.20,000,27.36,22.6,0.00,27.0,31.0,0.0,77,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.68,08-26-2019,19:00:00,1008.76,1.00,190,30.02,24.1,0.00,27.0,30.0,3.7,84,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.40,08-26-2019,19:00:00,1007.72,0.00,260,32.87,25.6,0.00,29.3,32.4,9.3,81,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.98,08-26-2019,19:00:00,1008.19,2.60,280,31.46,24.9,0.00,28.6,33.0,3.7,80,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.07,08-26-2019,19:00:00,1007.44,0.30,000,27.85,22.9,0.00,28.0,31.5,0.0,74,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.66,08-26-2019,19:00:00,1008.26,0.00,000,29.08,23.6,0.00,28.8,35.4,0.0,73,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.75,08-26-2019,19:00:00,1006.54,0.00,000,28.14,23.0,0.00,28.3,32.7,0.0,73,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.93,08-26-2019,19:00:00,1007.31,8.00,000,30.09,24.1,0.00,25.6,31.0,0.0,92,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.24,08-26-2019,19:00:00,1005.75,2.20,000,31.79,25.1,0.00,26.5,30.0,0.0,92,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.74,08-26-2019,19:00:00,1007.39,0.00,270,29.79,24.0,0.00,28.6,33.0,7.4,76,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.87,08-26-2019,19:00:00,1007.99,11.00,300,33.37,25.9,0.00,28.0,31.1,5.6,88,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.79,08-26-2019,19:00:00,1005.24,1.10,270,29.98,24.1,0.00,27.7,30.0,5.6,81,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.85,08-26-2019,19:00:00,1008.41,0.40,270,31.25,24.8,0.00,29.2,31.9,7.4,77,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.55,08-26-2019,19:00:00,1007.57,0.00,000,30.72,24.5,0.00,29.5,31.8,0.0,75,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.41,08-26-2019,19:00:00,1009.60,0.00,280,32.63,25.5,0.00,28.9,30.0,24.1,82,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.81,08-26-2019,19:00:00,1007.00,0.00,000,30.31,24.3,0.00,28.3,32.1,0.0,79,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.07,08-26-2019,19:00:00,1008.32,0.01,200,28.64,23.3,0.00,29.0,33.1,1.9,72,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.99,08-26-2019,19:00:00,1004.98,9.60,260,30.89,24.6,0.00,26.6,32.9,3.7,89,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.24,08-26-2019,19:00:00,1008.56,0.00,000,31.00,24.6,0.00,27.8,32.5,0.0,83,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.09,08-26-2019,19:00:00,1007.97,0.00,000,31.22,24.8,0.00,27.2,32.8,0.0,87,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.90,08-26-2019,19:00:00,1005.97,2.80,000,32.63,25.5,0.00,26.5,32.5,0.0,94,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.24,08-26-2019,19:00:00,1008.55,15.50,000,30.12,24.2,0.20,24.6,32.7,0.0,97,7.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.87,08-26-2019,19:00:00,1005.68,7.20,150,27.16,22.4,6.30,23.5,32.6,3.7,94,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.03,08-26-2019,19:00:00,1008.44,13.80,180,27.77,22.8,11.20,24.3,32.0,3.7,91,7.00
